profile	1.1.0	1.1.0--sm_70	cpu_arch=x86_64,gpu_arch=sm_70,cuda_version=11.6.124	# Last updated Thu Aug 17 23:26:08 2023

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
    0.152577	     26.4096	     26.4096	           5	   0.0305155	     32x32x32x64	N4quda7RNGInitE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 0.00 GB/s, tuning took 4.549793 seconds at Mon Aug  7 17:49:45 2023
   0.0746155	     12.9152	     39.3248	           5	   0.0149231	     32x32x32x64	N4quda5FmunuIdLi3EL21QudaReconstructType_s18EEE	GPU-offline,vol=2097152stride=1048576precision=8geometry=4Nc=3r=0000,comm=0000	# 2079.30 Gflop/s, 2064.12 GB/s, tuning took 31.400793 seconds at Thu Aug 10 17:22:53 2023
   0.0462439	     8.00435	     47.3292	          60	 0.000770731	 bytes=301989888	cudaMemcpyDefault	copy,cuda_gauge_field.cpp,576	# 0.00 Gflop/s, 391.82 GB/s, tuning took 0.005783 seconds at Mon Aug  7 17:49:31 2023
   0.0330994	     5.72918	     53.0583	          13	  0.00254611	     32x32x32x64	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_IdLi18ELi2ELi12ELS3_0ELb1ELS4_n2147483648ELb0EEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3vol=2097152stride=1048576precision=8geometry=4Nc=3r=0000	# 0.00 Gflop/s, 800.61 GB/s, tuning took 2.622500 seconds at Thu Aug 10 17:23:51 2023
   0.0268978	     4.65574	     57.7141	          10	  0.00268978	     16x32x32x64	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=single,GPU-offline,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,comm=0000	# 711.06 Gflop/s, 1122.73 GB/s, tuning took 3.217566 seconds at Thu Aug 10 17:23:54 2023
   0.0240693	     4.16615	     61.8802	          10	  0.00240693	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,cmem,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 846.90 GB/s, tuning took 3.933552 seconds at Mon Aug  7 17:49:35 2023
   0.0234695	     4.06233	     65.9426	           5	   0.0046939	     32x32x32x64	N4quda10GaugeGaussIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,lie_group	# 0.00 Gflop/s, 176.93 GB/s, tuning took 6.210466 seconds at Mon Aug  7 17:49:51 2023
   0.0213143	     3.68929	     69.6319	          10	  0.00213143	     32x32x32x64	N4quda10CopyCloverINS_6clover11FloatNOrderIfLi72ELi4ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEfdEE	GPU-offline,cmem,vol=2097152precision=8Nc=3	# 0.00 Gflop/s, 850.10 GB/s, tuning took 1.820336 seconds at Thu Aug 10 17:23:48 2023
   0.0185233	      3.2062	     72.8381	          10	  0.00185233	     32x32x32x64	N4quda10CopyCloverINS_6clover11FloatNOrderIsLi72ELi8ELb0ELb0ELb0EEENS2_IdLi72ELi2ELb0ELb0ELb0EEEsdEE	GPU-offline,cmem,vol=2097152precision=8Nc=3	# 0.00 Gflop/s, 815.16 GB/s, tuning took 1.590299 seconds at Thu Aug 10 17:23:46 2023
   0.0169824	     2.93949	     75.7775	           5	  0.00339649	     32x32x32x64	N4quda13ComputeCloverIdEE	GPU-offline,vol=2097152precision=8Nc=3	# 296.37 Gflop/s, 889.12 GB/s, tuning took 0.275285 seconds at Thu Aug 10 17:22:53 2023
   0.0155238	     2.68701	     78.4646	           5	  0.00310476	     32x32x32x64	N4quda12CloverInvertIdEE	GPU-offline,vol=2097152precision=8Nc=3,trlog=true,twist=false	# 0.00 Gflop/s, 778.13 GB/s, tuning took 46.658526 seconds at Thu Aug 10 17:23:40 2023
   0.0154342	     2.67151	     81.1361	          20	 0.000771712	 bytes=301989888	cudaMemcpyDefault	saveCPUField,cuda_gauge_field.cpp,658	# 0.00 Gflop/s, 391.32 GB/s, tuning took 0.007972 seconds at Mon Aug  7 17:49:55 2023
   0.0147741	     2.55725	     83.6933	           5	  0.00295482	     32x32x32x64	N4quda11CopyGaugeExIddLi18ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEES5_EE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3vol=2097152stride=1048576precision=8geometry=4Nc=3r=0000	# 0.00 Gflop/s, 830.40 GB/s, tuning took 3.018751 seconds at Thu Aug 10 17:22:22 2023
   0.0147372	     2.55087	     86.2442	           5	  0.00294745	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,cmem,vol=2097152stride=1048576precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=8geometry=4Nc=3	# 0.00 Gflop/s, 832.47 GB/s, tuning took 4.775428 seconds at Thu Aug 10 17:22:14 2023
   0.0142235	     2.46194	     88.7061	          10	  0.00142235	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	# 0.00 Gflop/s, 875.81 GB/s, tuning took 2.427331 seconds at Mon Aug  7 17:49:40 2023
   0.0136372	     2.36046	     91.0666	          10	  0.00136372	        75497472	N4quda15TransformReduceINS_7maximumIdEEKNS_7complexIdEEmNS_8abs_max_IddEENS_8identityEEE	,batch_size=1	# 0.00 Gflop/s, 885.78 GB/s, tuning took 4.476428 seconds at Thu Aug 10 17:23:44 2023
   0.0126219	     2.18472	     93.2513	           5	  0.00252437	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge8QDPOrderIdLi18EEENS2_11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1048576precision=8geometry=4Nc=3	# 0.00 Gflop/s, 807.50 GB/s, tuning took 4.134688 seconds at Mon Aug  7 17:49:55 2023
   0.0122185	      2.1149	     95.3662	          10	  0.00122185	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi12ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	# 0.00 Gflop/s, 849.61 GB/s, tuning took 2.105499 seconds at Mon Aug  7 17:49:38 2023
  0.00711065	     1.23078	      96.597	           5	  0.00142213	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIfdLi18ELb0ENS_5gauge11FloatNOrderIfLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=4geometry=4Nc=3	# 0.00 Gflop/s, 1167.92 GB/s, tuning took 2.417724 seconds at Thu Aug 10 17:22:19 2023
  0.00611085	     1.05773	     97.6547	           5	  0.00122217	     32x32x32x64	N4quda9CopyGaugeINS_12CopyGaugeArgIsdLi18ELb0ENS_5gauge11FloatNOrderIsLi18ELi4ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS3_IdLi18ELi2ELi18ELS4_0ELb1ELS5_n2147483648ELb0EEEEEEE	GPU-offline,cmem,vol=2097152stride=1081344precision=8geometry=4Nc=3,vol=2097152stride=1081344precision=2geometry=4Nc=3	# 0.00 Gflop/s, 1189.14 GB/s, tuning took 2.105199 seconds at Thu Aug 10 17:22:16 2023
  0.00496235	    0.858933	     98.5136	          10	 0.000496235	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	# 0.00 Gflop/s, 811.42 GB/s, tuning took 0.078503 seconds at Mon Aug  7 20:10:28 2023
  0.00492011	    0.851621	     99.3653	          10	 0.000492011	     16x32x32x64	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=1048576,parity=1,precision=8,order=2,Ns=4,Nc=3vol=1048576,parity=1,precision=8,order=9,Ns=4,Nc=3,RelBasis	# 0.00 Gflop/s, 818.38 GB/s, tuning took 0.058021 seconds at Mon Aug  7 20:10:30 2023
  0.00119199	    0.206321	     99.5716	          15	 7.94658e-05	     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	# 0.00 Gflop/s, 554.20 GB/s, tuning took 0.161376 seconds at Mon Aug  7 17:49:36 2023
 0.000971932	    0.168232	     99.7398	          45	 2.15985e-05	   bytes=6291456	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 582.58 GB/s, tuning took 0.001080 seconds at Mon Aug  7 17:49:36 2023
  0.00059536	    0.103051	     99.8429	           5	 0.000119072	     32x32x32x64	N4quda12ExtractGhostIdLi3ENS_5gauge11FloatNOrderIdLi18ELi2ELi18EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEEEE	GPU-offline,vol=2097152stride=1081344precision=8geometry=4Nc=3,extract	# 0.00 Gflop/s, 554.79 GB/s, tuning took 0.218231 seconds at Thu Aug 10 17:22:14 2023
  0.00044817	   0.0775737	     99.9204	          15	  2.9878e-05	   bytes=9437184	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 631.71 GB/s, tuning took 0.001139 seconds at Thu Aug 10 17:22:14 2023
 8.69703e-05	   0.0150537	     99.9355	          15	 5.79802e-06	   bytes=3145728	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 1085.10 GB/s, tuning took 0.000710 seconds at Mon Aug  7 17:49:36 2023
 8.53494e-05	   0.0147731	     99.9503	           2	 4.26747e-05	  bytes=33030144	cudaMemset	allocateGhostBuffer,lattice_field.cpp,293	# 0.00 Gflop/s, 774.00 GB/s, tuning took 0.001245 seconds at Thu Aug 10 17:22:14 2023
 8.49275e-05	   0.0147001	      99.965	           5	 1.69855e-05	   bytes=4718592	cudaMemcpyDeviceToDevice	exchangeGhost,cuda_gauge_field.cpp,193	# 0.00 Gflop/s, 555.60 GB/s, tuning took 0.001088 seconds at Thu Aug 10 17:22:14 2023
  8.4104e-05	   0.0145576	     99.9795	           2	  4.2052e-05	  bytes=33030144	cudaMemset	allocateGhostBuffer,lattice_field.cpp,288	# 0.00 Gflop/s, 785.46 GB/s, tuning took 0.001250 seconds at Thu Aug 10 17:22:14 2023
  5.9268e-05	   0.0102587	     99.9898	           2	  2.9634e-05	  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,293	# 0.00 Gflop/s, 743.07 GB/s, tuning took 0.001119 seconds at Mon Aug  7 17:49:35 2023
 5.90138e-05	   0.0102147	         100	           2	 2.95069e-05	  bytes=22020096	cudaMemset	allocateGhostBuffer,lattice_field.cpp,288	# 0.00 Gflop/s, 746.27 GB/s, tuning took 0.003124 seconds at Mon Aug  7 17:49:35 2023

# Total time spent in kernels = 0.577734 seconds
